name,res_risk,nContigs,nARG,nMGE,nPAT,nARG&MGE,nARG&MGE&PAT,nARG/nContigs,nMGE/nContigs,nPAT/nContigs,nARG&MGE/nContigs,nARG&MGE&PAT/nContigs
EF,22.7993288,429535,904,270,43531,0,0,0.002104601,0.000628587,0.101344477,0.00E+00,0.00E+00
SF,18.79871763,99548,55,48,1322,0,0,0.000552497,0.000482179,0.013280026,0.00E+00,0.00E+00
TC,20.21380397,205378,234,57,2407,0,0,0.001139363,0.000277537,0.011719853,0.00E+00,0.00E+00
TW,19.38423642,127517,100,76,1324,1,1,0.000784209,0.000595999,0.010382929,7.84E-06,7.84E-06
TA,26.30646559,554003,1782,932,86268,8,8,0.003216589,0.001682301,0.155717568,1.44E-05,1.44E-05
SD,22.96919973,521119,1096,430,32377,13,12,0.002103166,0.000825147,0.062129763,2.49E-05,2.30E-05
TB,24.21314955,458579,1116,1401,43286,27,26,0.002433605,0.00305509,0.094391588,5.89E-05,5.67E-05
BB,27.94228135,547279,1943,711,91445,36,36,0.003550292,0.001299155,0.167090278,6.58E-05,6.58E-05
GA,23.46612966,424973,977,418,35661,6,6,0.00229897,0.000983592,0.083913566,1.41E-05,1.41E-05
GB,22.70519048,694270,1413,681,46192,10,10,0.002035231,0.000980886,0.066533193,1.44E-05,1.44E-05
RP,23.79616577,581847,1390,558,43298,14,12,0.002388944,0.000959015,0.074414752,2.41E-05,2.06E-05
SP,23.54799345,513554,1180,501,37931,13,13,0.002297714,0.000975555,0.073859808,2.53E-05,2.53E-05
LA,23.7439236,454410,1078,555,30717,10,10,0.002372307,0.001221364,0.067597544,2.20E-05,2.20E-05
AB,20.46818612,331553,402,250,5101,4,4,0.001212476,0.000754027,0.015385172,1.21E-05,1.21E-05
LB,20.52890245,694744,862,542,11258,8,6,0.001240745,0.000780143,0.01620453,1.15E-05,8.64E-06
DB,19.61701756,397414,348,213,5023,4,4,0.000875661,0.000535965,0.012639213,1.01E-05,1.01E-05
