name,Cu,Ni,Cr,Mn,Fe,V,Al
EF,0.033859366,0.02736998,NA,NA,0.732850849,0.013257835,0.78250872
TA,0.034946245,NA,0.010600002,0.069634878,0.244049116,0.011306696,0.186339228
GA,0.033174089,0.001951264,NA,0.006233326,0.376696796,0.006955217,0.28008618
TB,0.034336711,0.000871481,0.003605834,NA,0.045996955,0.007683921,0.092332406
SP,0.034707274,0.009512653,NA,0.044893277,0.203667887,0.004960645,0.170139652
SD,0.031326741,NA,NA,0.024173569,0.283139571,0.005642158,0.214295977
GB,0.028978936,NA,0.011556397,NA,0.151204676,0.008164029,0.151052107
SF,0.057877868,0.024622125,0.01831802,NA,0.037226717,0.007868691,0.197826155
BB,0.033308715,0.023817353,0.017320629,NA,NA,0.008820775,0.076795583
RP,0.031323131,0.000893021,0.017991358,0.00756759,0.226352773,0.005611974,0.192215359
TC,0.023474522,0.023450275,0.017236815,0.326401362,0.191227743,0.008874011,0.147890633
